Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID (mapped data supplied by NCBI)	UniProt ID (mapped data supplied by UniProt)
TMPRSS7	transmembrane protease, serine 7			344805	Q7RTY8
TMPRSS9	transmembrane protease, serine 9			360200	Q7Z410
TMPRSS11A	transmembrane protease, serine 11A		ECRG1	339967	Q6ZMR5
TMPRSS11B	transmembrane protease, serine 11B			132724	Q86T26
TMPRSS11BNL	TMPRSS11B N terminal-like		FLJ41562	401136	B3KVV0
TMPRSS11CP	transmembrane protease, serine 11C, pseudogene			100381178	
TMPRSS11D	transmembrane protease, serine 11D			9407	O60235
TMPRSS11E	transmembrane protease, serine 11E	TMPRSS11E2	DESC1	28983	Q9UL52
TMPRSS11F	transmembrane protease, serine 11F		FLJ16046	389208	Q6ZWK6
TMPRSS11GP	transmembrane protease, serine 11G, pseudogene			644759	
TMPRSS12	transmembrane (C-terminal) protease, serine 12		MGC57341	283471	Q86WS5
TMPRSS13	transmembrane protease, serine 13	TMPRSS11	MSPL	84000	Q9BYE2
TMPRSS15	transmembrane protease, serine 15	PRSS7	ENTK, MGC133046	5651	P98073
TMSB4X	thymosin beta 4, X-linked	TMSB4	TB4X	7114	P62328
TMSB4XP1	thymosin beta 4, X-linked pseudogene 1	TMSL1		7115	
TMSB4XP2	thymosin beta 4, X-linked pseudogene 2	TMSL2		7116	
TMSB4XP3	thymosin beta 4, X-linked pseudogene 3			100873877	
TMSB4XP4	thymosin beta 4, X-linked pseudogene 4	TMSL4		7118	
TMSB4XP5	thymosin beta 4, X-linked pseudogene 5	TMSL5		7119	
TMSB4XP6	thymosin beta 4, X-linked pseudogene 6	TMSB4L, TMSL6	dJ1071L10.1	7120	
TMSB4XP7	thymosin beta 4, X-linked pseudogene 7	TMSL7		7121	
TMSB4XP8	thymosin beta 4, X-linked pseudogene 8	TMSL3		7117	
TMSB4Y	thymosin beta 4, Y-linked		TB4Y	9087	O14604
TMSB10	thymosin beta 10		TB10	9168	P63313
TMSB10P1	thymosin beta 10 pseudogene 1			100506723	
TMSB10P2	thymosin beta 10 pseudogene 2			100873786	
TMSB15A	thymosin beta 15a	TMSL8	TMSNB	11013	P0CG34
TMSB15B	thymosin beta 15B		MGC39900	286527	P0CG35
TMTC1	transmembrane and tetratricopeptide repeat containing 1		ARG99, OLF, FLJ31400, FLJ41625	83857	Q8IUR5
TMTC2	transmembrane and tetratricopeptide repeat containing 2		DKFZp762A217	160335	Q8N394
TMTC3	transmembrane and tetratricopeptide repeat containing 3		FLJ90492, SMILE	160418	Q6ZXV5
TMTC4	transmembrane and tetratricopeptide repeat containing 4		FLJ14624, FLJ22153	84899	Q5T4D3
TMUB1	transmembrane and ubiquitin-like domain containing 1	C7orf21	SB144	83590	Q9BVT8
TMUB2	transmembrane and ubiquitin-like domain containing 2		MGC3123	79089	Q71RG4
TMX1	thioredoxin-related transmembrane protein 1	TXNDC, TXNDC1	TMX, PDIA11	81542	Q9H3N1
TMX2	thioredoxin-related transmembrane protein 2	TXNDC14	PDIA12	51075	Q9Y320
TMX2-CTNND1	TMX2-CTNND1 readthrough (non-protein coding)			100528016	
TMX3	thioredoxin-related transmembrane protein 3	TXNDC10	FLJ20793, KIAA1830, PDIA13	54495	Q96JJ7
TMX4	thioredoxin-related transmembrane protein 4	TXNDC13	DJ971N18.2, KIAA1162, PDIA14	56255	Q9H1E5
TNC	tenascin C	HXB	TN, MGC167029	3371	P24821
TNF	tumor necrosis factor	TNFA	TNFSF2, DIF, TNF-alpha	7124	P01375
TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	EDP1	B61, B12, MGC2317	7126	Q13829
TNFAIP2	tumor necrosis factor, alpha-induced protein 2		B94, EXOC3L3	7127	Q03169
TNFAIP3	tumor necrosis factor, alpha-induced protein 3		A20, OTUD7C	7128	P21580
TNFAIP6	tumor necrosis factor, alpha-induced protein 6		TSG6, TSG-6	7130	P98066
TNFAIP8	tumor necrosis factor, alpha-induced protein 8		GG2-1, MDC-3.13, SCC-S2	25816	O95379
TNFAIP8L1	tumor necrosis factor, alpha-induced protein 8-like 1		MGC17791	126282	Q8WVP5
TNFAIP8L2	tumor necrosis factor, alpha-induced protein 8-like 2		FLJ23467	79626	Q6P589
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3		FLJ41287	388121	Q5GJ75
TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	TNFR1	TNF-R, TNFAR, TNFR60, TNF-R-I, CD120a, TNF-R55	7132	P19438
TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	TNFR2	TNFBR, TNFR80, TNF-R75, TNF-R-II, p75, CD120b	7133	P20333
TNFRSF4	tumor necrosis factor receptor superfamily, member 4	TXGP1L	ACT35, OX40, CD134	7293	P43489
TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy		DcR3, DCR3, TR6, M68	8771	O95407
TNFRSF8	tumor necrosis factor receptor superfamily, member 8	CD30, D1S166E	KI-1	943	P28908
TNFRSF9	tumor necrosis factor receptor superfamily, member 9	ILA	CD137, 4-1BB	3604	Q07011
TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a		DR4, Apo2, TRAILR-1, CD261	8797	O00220
TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b		DR5, KILLER, TRICK2A, TRAIL-R2, TRICKB, CD262	8795	O14763
TNFRSF10C	tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain		DcR1, TRAILR3, LIT, TRID, CD263	8794	O14798
TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain		DcR2, TRUNDD, TRAILR4, CD264	8793	Q9UBN6
TNFRSF11A	tumor necrosis factor receptor superfamily, member 11a, NFKB activator		RANK, CD265	8792	Q9Y6Q6
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	OPG	OCIF, TR1	4982	O00300
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A		FN14, TweakR, CD266	51330	Q9NP84
TNFRSF13B	tumor necrosis factor receptor superfamily, member 13B		TACI, CD267	23495	O14836
TNFRSF13C	tumor necrosis factor receptor superfamily, member 13C		BAFFR, CD268	115650	Q96RJ3
TNFRSF14	tumor necrosis factor receptor superfamily, member 14		HVEM, ATAR, TR2, LIGHTR, HVEA, CD270	8764	Q92956
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	BCMA	BCM, CD269	608	Q02223
TNFRSF18	tumor necrosis factor receptor superfamily, member 18		AITR, GITR, CD357	8784	Q9Y5U5
TNFRSF19	tumor necrosis factor receptor superfamily, member 19		TAJ-alpha, TROY, TAJ, TRADE	55504	Q9NS68
TNFRSF21	tumor necrosis factor receptor superfamily, member 21		DR6, CD358	27242	O75509
TNFRSF25	tumor necrosis factor receptor superfamily, member 25	TNFRSF12	DR3, TRAMP, WSL-1, LARD, WSL-LR, DDR3, TR3, APO-3	8718	Q93038
TNFSF4	tumor necrosis factor (ligand) superfamily, member 4	TXGP1	OX-40L, gp34, CD252	7292	P23510
TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	CD30LG	CD153	944	P32971
TNFSF9	tumor necrosis factor (ligand) superfamily, member 9		4-1BB-L	8744	P41273
TNFSF10	tumor necrosis factor (ligand) superfamily, member 10		TRAIL, Apo-2L, TL2, CD253	8743	P50591
TNFSF11	tumor necrosis factor (ligand) superfamily, member 11		TRANCE, RANKL, OPGL, ODF, CD254	8600	O14788
TNFSF12	tumor necrosis factor (ligand) superfamily, member 12		TWEAK, DR3LG, APO3L	8742	O43508
TNFSF12-TNFSF13	TNFSF12-TNFSF13 readthrough		TWE-PRIL	407977	
TNFSF13	tumor necrosis factor (ligand) superfamily, member 13		APRIL, CD256	8741	O75888
TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	TNFSF20	BAFF, THANK, BLYS, TALL-1, TALL1, CD257	10673	Q9Y275
TNFSF14	tumor necrosis factor (ligand) superfamily, member 14		LIGHT, LTg, HVEM-L, CD258	8740	O43557
TNFSF15	tumor necrosis factor (ligand) superfamily, member 15		TL1, VEGI, TL1A, VEGI192A, MGC129934, MGC129935	9966	O95150
TNFSF18	tumor necrosis factor (ligand) superfamily, member 18		AITRL, TL6, hGITRL	8995	Q9UNG2
TNIK	TRAF2 and NCK interacting kinase		KIAA0551	23043	Q9UKE5
TNIP1	TNFAIP3 interacting protein 1		NAF1, KIAA0113, ABIN-1, VAN	10318	Q15025
TNIP2	TNFAIP3 interacting protein 2		ABIN-2, MGC4289, KLIP, FLIP1	79155	Q8NFZ5
TNIP3	TNFAIP3 interacting protein 3		LIND, FLJ21162, ABIN-3	79931	Q96KP6
TNK1	tyrosine kinase, non-receptor, 1			8711	Q13470
TNK2	tyrosine kinase, non-receptor, 2		p21cdc42Hs, ACK, ACK1	10188	Q07912
TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase		TIN1, TINF1, TNKS1, PARP-5a, PARP5A, pART5	8658	O95271
TNKS1BP1	tankyrase 1 binding protein 1, 182kDa		TAB182, KIAA1741, FLJ45975	85456	Q9C0C2
TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2		TNKL, TANK2, PARP-5b, PARP-5c, PARP5B, PARP5C, pART6	80351	Q9H2K2
TNMD	tenomodulin		myodulin, ChM1L, tendin, TEM, BRICD4	64102	Q9H2S6
TNN	tenascin N			63923	Q9UQP3
TNNC1	troponin C type 1 (slow)	TNNC		7134	P63316
TNNC2	troponin C type 2 (fast)			7125	P02585
TNNI1	troponin I type 1 (skeletal, slow)			7135	P19237
TNNI2	troponin I type 2 (skeletal, fast)		AMCD2B, DA2B, FSSV	7136	P48788
TNNI3	troponin I type 3 (cardiac)		TNNC1, CMH7	7137	P19429
TNNI3K	TNNI3 interacting kinase		CARK	51086	Q59H18
TNNT1	troponin T type 1 (skeletal, slow)		ANM, STNT, TNT, TNTS, FLJ98147, MGC104241, NEM5	7138	P13805
TNNT2	troponin T type 2 (cardiac)	CMH2		7139	P45379
TNNT3	troponin T type 3 (skeletal, fast)		AMCD2B, DA2B, FSSV, DKFZp779M2348	7140	P45378
TNP1	transition protein 1 (during histone to protamine replacement)			7141	P09430
TNP2	transition protein 2 (during histone to protamine replacement)		TP2	7142	Q05952
TNPO1	transportin 1	KPNB2	MIP, TRN, IPO2, MIP1	3842	Q92973
TNPO2	transportin 2		IPO3, KPNB2B, FLJ12155, TRN2	30000	O14787
TNPO3	transportin 3		TRN-SR, MTR10A, TRN-SR2, IPO12	23534	Q9Y5L0
TNR	tenascin R			7143	Q92752
TNR-IT1	TNR intronic transcript 1 (non-protein coding)			100874256	
TNR1	Turner syndrome 1			7144	
TNRC6A	trinucleotide repeat containing 6A	TNRC6	CAGH26, KIAA1460, GW182	27327	Q8NDV7
TNRC6B	trinucleotide repeat containing 6B		KIAA1093	23112	Q9UPQ9
TNRC6C	trinucleotide repeat containing 6C		KIAA1582, FLJ20015	57690	Q9HCJ0
TNRC17	trinucleotide repeat containing 17		CAGL234	27321	
TNRC18	trinucleotide repeat containing 18		CAGL79, TNRC18A, KIAA1856	84629	O15417
TNRC18P1	TNRC18P1			644962	
TNRC18P2	trinucleotide repeat containing 18 pseudogene 2	TNRC18B		27320	
TNRC18P3	trinucleotide repeat containing 18 pseudogene 3	TNRC18C		340221	
TNS1	tensin 1	TNS, MXRA6	DKFZp586K0617	7145	Q9HBL0
TNS3	tensin 3	TENS1	TEM6, H_NH0549I23.2, FLJ13732	64759	Q68CZ2
TNS4	tensin 4		CTEN	84951	Q8IZW8
TNXA	tenascin XA (pseudogene)	TNX	XA, D6S103E, HXBL	7146	Q16473
TNXB	tenascin XB	TNXB1, TNXB2	TNXBS, XBS, XB	7148	P22105
TOB1	transducer of ERBB2, 1	TROB1	TOB, TROB	10140	P50616
TOB1-AS1	TOB1 antisense RNA 1			400604	
TOB2	transducer of ERBB2, 2	TROB2	TOBL, TOB4, bK223H9	10766	Q14106
TOB2P1	transducer of ERBB2, 2 pseudogene 1	TOB2P	TOB4p, p373c6.3	222699	
TOC	tylosis with oesophageal cancer		TOCG	7149	
TOE1	target of EGR1, member 1 (nuclear)			114034	Q96GM8
TOLLIP	toll interacting protein		IL-1RAcPIP	54472	Q9H0E2
TOM1	target of myb1 (chicken)			10043	O60784
TOM1L1	target of myb1 (chicken)-like 1		SRCASM	10040	O75674
TOM1L2	target of myb1-like 2 (chicken)			146691	Q6ZVM7
TOMM5	translocase of outer mitochondrial membrane 5 homolog (yeast)	C9orf105	bA613M10.3	401505	Q8N4H5
TOMM6	translocase of outer mitochondrial membrane 6 homolog (yeast)		OBTP	100188893	Q96B49
TOMM7	translocase of outer mitochondrial membrane 7 homolog (yeast)			54543	Q9P0U1
TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)		KIAA0016, TOM20, MOM19, MAS20	9804	Q15388
TOMM20L	translocase of outer mitochondrial membrane 20 homolog (yeast)-like		UNQ9438	387990	Q6UXN7
TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)		TOM22	56993	Q9NS69
TOMM22P1	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 1			100499416	
TOMM22P2	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 2			100499417	
TOMM22P3	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 3			122038	
TOMM22P4	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 4			100874517	
TOMM22P5	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 5			390007	
TOMM22P6	translocase of outer mitochondrial membrane 22 homolog (yeast) pseudogene 6			100287573	
TOMM34	translocase of outer mitochondrial membrane 34		TOM34, HTOM34P	10953	Q15785
TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)		PEREC1, D19S1177E, C19orf1, TOM40, PER-EC1	10452	O96008
TOMM40L	translocase of outer mitochondrial membrane 40 homolog (yeast)-like		FLJ12770, TOMM40B	84134	Q969M1
TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)		KIAA0719	9868	O94826
TONSL	tonsoku-like, DNA repair protein	NFKBIL2	IKBR	4796	Q96HA7
TOP1	topoisomerase (DNA) I			7150	P11387
TOP1MT	topoisomerase (DNA) I, mitochondrial			116447	Q969P6
TOP1P1	topoisomerase (DNA) I pseudogene 1			7151	
TOP1P2	topoisomerase (DNA) I pseudogene 2			7152	
TOP2A	topoisomerase (DNA) II alpha 170kDa	TOP2		7153	P11388
TOP2B	topoisomerase (DNA) II beta 180kDa			7155	Q02880
TOP3A	topoisomerase (DNA) III alpha	TOP3		7156	Q13472
TOP3B	topoisomerase (DNA) III beta			8940	O95985
TOP3BP1	topoisomerase (DNA) III beta pseudogene 1	TOP3B2		23751	
TOPAZ1	testis and ovary specific PAZ domain containing 1	C3orf77	FLJ36157	375337	Q8N9V7
TOPBP1	topoisomerase (DNA) II binding protein 1		KIAA0259, TOP2BP1	11073	Q92547
TOPORS	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase	RP31	TP53BPL, LUN	10210	Q9NS56
TOPORS-AS1	TOPORS antisense RNA 1	C9orf133		548324	
TOR1A	torsin family 1, member A (torsin A)	DYT1	DQ2	1861	O14656
TOR1AIP1	torsin A interacting protein 1		LAP1B, FLJ13142	26092	Q5JTV8
TOR1AIP2	torsin A interacting protein 2		LULL1, NET9, IFRG15	163590	Q8NFQ8
TOR1B	torsin family 1, member B (torsin B)		DQ1, MGC4386	27348	O14657
TOR2A	torsin family 2, member A		FLJ14771, TORP1	27433	Q5JU69
TOR3A	torsin family 3, member A	ADIR	FLJ22345, ADIR2	64222	Q9H497
TOR4A	torsin family 4, member A	C9orf167	FLJ20245	54863	Q9NXH8
TOX	thymocyte selection-associated high mobility group box		KIAA0808, TOX1	9760	O94900
TOX2	TOX high mobility group box family member 2	C20orf100	dJ1108D11.2, GCX-1	84969	Q96NM4
TOX3	TOX high mobility group box family member 3	TNRC9	CAGF9	27324	O15405
TOX4	TOX high mobility group box family member 4	C14orf92, KIAA0737	LCP1	9878	O94842
TOX4P1	TOX high mobility group box family member 4 pseudogene 1			285412	
TP53	tumor protein p53		p53, LFS1	7157	P04637
TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1		p53AIP1	63970	Q9HCN2
TP53BP1	tumor protein p53 binding protein 1		53BP1, p202	7158	Q12888
TP53BP2	tumor protein p53 binding protein, 2		PPP1R13A, ASPP2, 53BP2	7159	Q13625
TP53BP2P1	tumor protein p53 binding protein, 2 pseudogene 1	PPP1R13AP		94299	
TP53COR1	tumor protein p53 pathway corepressor 1 (non-protein coding)		linc-p21, lincRNA-p21, Trp53cor1		
TP53I3	tumor protein p53 inducible protein 3		PIG3	9540	Q53FA7
TP53I11	tumor protein p53 inducible protein 11		PIG11	9537	O14683
TP53I13	tumor protein p53 inducible protein 13		DSCP1	90313	Q8NBR0
TP53INP1	tumor protein p53 inducible nuclear protein 1		DKFZp434M1317, FLJ22139, P53DINP1, SIP, TP53INP1A, TP53INP1B, Teap	94241	Q96A56
TP53INP2	tumor protein p53 inducible nuclear protein 2	C20orf110	FLJ21759, FLJ23500, DKFZp434B2411, DKFZp434O0827, dJ1181N3.1, PINH, DOR	58476	Q8IXH6
TP53RK	TP53 regulating kinase	C20orf64	dJ101A2.2, prpk, Nori-2p, BUD32	112858	Q96S44
TP53TG1	TP53 target 1 (non-protein coding)	TP53AP1	H_RG012D21.9, LINC00096	11257	Q9Y2A0
TP53TG3	TP53 target 3		P53TG3, TP53TG3A	24150	Q9ULZ0
TP53TG3B	TP53 target 3B			729355	Q9ULZ0
TP53TG3C	TP53 target 3C			653550	Q9ULZ0
TP53TG5	TP53 target 5	C20orf10	CLG01, dJ453C12.5	27296	Q9Y2B4
TP63	tumor protein p63	TP73L, TP53L, TP53CP	p51, SHFM4, EEC3, p63, p73L, OFC8, KET, p73H, NBP, p53CP	8626	Q9H3D4
TP73	tumor protein p73		P73	7161	O15350
TP73-AS1	TP73 antisense RNA 1	KIAA0495	PDAM	57212	Q9UF72
TPBG	trophoblast glycoprotein		5T4-AG, 5T4	7162	Q13641
TPBGL	trophoblast glycoprotein-like			100507050	P0DKB5
TPCN1	two pore segment channel 1		KIAA1169, FLJ20612, TPC1	53373	Q9ULQ1
TPCN2	two pore segment channel 2		TPC2	219931	Q8NHX9
TPD52	tumor protein D52		D52, hD52, N8L	7163	P55327
TPD52L1	tumor protein D52-like 1		D53, hD53	7164	Q16890
TPD52L2	tumor protein D52-like 2		D54, hD54	7165	O43399
TPD52L3	tumor protein D52-like 3		NYD-SP25	89882	Q96J77
TPGS1	tubulin polyglutamylase complex subunit 1	C19orf20	GTRGEO22, PGs1	91978	Q6ZTW0
TPGS2	tubulin polyglutamylase complex subunit 2	C18orf10	DKFZP586M1523, HsT3006	25941	Q68CL5
TPH1	tryptophan hydroxylase 1	TPRH, TPH		7166	P17752
TPH2	tryptophan hydroxylase 2		NTPH, FLJ37295	121278	Q8IWU9
TPI1	triosephosphate isomerase 1			7167	P60174
TPI1P1	triosephosphate isomerase 1 pseudogene 1			729708	
TPI1P2	triosephosphate isomerase 1 pseudogene 2			286016	
TPI1P3	triosephosphate isomerase 1 pseudogene 3			728402	
TPI1P4	triosephosphate isomerase 1 pseudogene 4			728629	
TPK1	thiamin pyrophosphokinase 1		HTPK1, PP20	27010	Q9H3S4
TPM1	tropomyosin 1 (alpha)	C15orf13, CMH3		7168	P09493
TPM2	tropomyosin 2 (beta)	AMCD1	DA1, NEM4	7169	P07951
TPM3	tropomyosin 3	NEM1	TRK	7170	P06753
TPM3P1	tropomyosin 3 pseudogene 1	TPM3L2		252956	
TPM3P2	tropomyosin 3 pseudogene 2	TPM5P	dJ1125A11.2	170555	
TPM3P3	tropomyosin 3 pseudogene 3				
TPM3P4	tropomyosin 3 pseudogene 4			402643	
TPM3P5	tropomyosin 3 pseudogene 5			644330	
TPM3P6	tropomyosin 3 pseudogene 6			653758	
TPM3P7	tropomyosin 3 pseudogene 7			751599	
TPM3P8	tropomyosin 3 pseudogene 8			646839	
TPM3P9	tropomyosin 3 pseudogene 9			147804	
TPM4	tropomyosin 4			7171	P67936
TPMT	thiopurine S-methyltransferase			7172	P51580
TPMTP1	thiopurine S-methyltransferase pseudogene 1			400650	
TPMTP2	thiopurine S-methyltransferase pseudogene 2			100420393	
TPMTP3	thiopurine S-methyltransferase pseudogene 3			100129277	
TPMTP4	thiopurine S-methyltransferase pseudogene 4			100129298	
TPO	thyroid peroxidase		TPX	7173	P07202
TPP1	tripeptidyl peptidase I	CLN2		1200	O14773
TPP2	tripeptidyl peptidase II			7174	P29144
TPPP	tubulin polymerization promoting protein		p25alpha, TPPP1, p25, TPPP/p25	11076	O94811
TPPP2	tubulin polymerization-promoting protein family member 2	C14orf8	p25beta, p18	122664	P59282
TPPP3	tubulin polymerization-promoting protein family member 3		CGI-38, p25gamma, p20	51673	Q9BW30
TPR	translocated promoter region, nuclear basket protein			7175	P12270
TPRA1	transmembrane protein, adipocyte asscociated 1	GPR175	TPRA40, FLJ32197, TMEM227	131601	Q86W33
TPRG1	tumor protein p63 regulated 1	FAM79B	FLJ41238, FLJ43694	285386	Q6ZUI0
TPRG1-AS1	TPRG1 antisense RNA 1			100874043	
TPRG1-AS2	TPRG1 antisense RNA 2			100874027	
TPRG1L	tumor protein p63 regulated 1-like	FAM79A	RP11-46F15.3, FLJ21811	127262	Q5T0D9
TPRKB	TP53RK binding protein		CGI-121	51002	Q9Y3C4
TPRN	taperin	C9orf75, DFNB79	FLJ90254	286262	Q4KMQ1
TPRX1	tetra-peptide repeat homeobox 1		FLJ40321	284355	Q8N7U7
TPRX1P1	tetra-peptide repeat homeobox 1 pseudogene 1			503628	
TPRX2P	tetra-peptide repeat homeobox 2 pseudogene		TPRX2P1	503627	
TPRXL	tetra-peptide repeat homeobox-like		FLJ35107	348825	Q17RH7
TPSAB1	tryptase alpha/beta 1	TPSB1, TPS1, TPS2		7177	Q15661
TPSB2	tryptase beta 2 (gene/pseudogene)			64499	P20231
TPSD1	tryptase delta 1			23430	Q9BZJ3
TPSG1	tryptase gamma 1		TMT, PRSS31	25823	Q9NRR2
TPSP1	tryptase pseudogene 1			100129339	
TPSP2	tryptase pseudogene 2		Mastin	650474	
TPST1	tyrosylprotein sulfotransferase 1			8460	O60507
TPST2	tyrosylprotein sulfotransferase 2			8459	O60704
TPST2P1	tyrosylprotein sulfotransferase 2 pseudogene 1			100420710	
TPT1	tumor protein, translationally-controlled 1		TCTP, fortilin	7178	P13693
TPT1-AS1	TPT1 antisense RNA 1			100190939	
TPT1P1	tumor protein, translationally-controlled 1 pseudogene 1	TPT1P		100131268	
TPTE	transmembrane phosphatase with tensin homology		PTEN2, CT44	7179	P56180
TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2		TPIP	93492	Q6XPS3
TPTE2P1	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 1			646405	Q5T6R2
TPTE2P2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 2			644623	
TPTE2P3	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 3			220115	
TPTE2P4	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 4			286573	
TPTE2P5	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5			100616668	
TPTE2P6	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6			374491	
TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1		psiTPTE22	387590	
TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	C20orf2, C20orf1	p100, DIL-2	22974	Q9ULW0
TRA2A	transformer 2 alpha homolog (Drosophila)		htra-2-alpha, tra2a, AWMS1	29896	Q13595
TRA2B	transformer 2 beta homolog (Drosophila)	SFRS10	Htra2-beta	6434	P62995
TRA@	T cell receptor alpha locus	TCRA	TRA	6955	-
TRABD	TraB domain containing		PP2447	80305	Q9H4I3
TRABD2A	TraB domain containing 2A	C2orf89		129293	Q86V40
TRABD2B	TraB domain containing 2B			388630	A6NFA1
TRAC	T cell receptor alpha constant			28755	P01848
TRADD	TNFRSF1A-associated via death domain		Hs.89862	8717	Q15628
TRAF1	TNF receptor-associated factor 1		EBI6	7185	Q13077
TRAF2	TNF receptor-associated factor 2		TRAP3	7186	Q12933
TRAF3	TNF receptor-associated factor 3		CAP-1, CD40bp, CRAF1, LAP1	7187	Q13114
TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1		MIP-T3, DKFZP434F124, MIPT3	26146	Q8TDR0
TRAF3IP2	TRAF3 interacting protein 2	C6orf4, C6orf5, C6orf6, C6orf2	DKFZP586G0522, ACT1, CIKS	10758	O43734
TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1	TRAF3IP2-AS2, C6orf3, NCRNA00248	C6UAS	643749	
TRAF3IP3	TRAF3 interacting protein 3		T3JAM	80342	Q9Y228
TRAF4	TNF receptor-associated factor 4		CART1, MLN62, RNF83	9618	Q9BUZ4
TRAF5	TNF receptor-associated factor 5		RNF84	7188	O00463
TRAF6	TNF receptor-associated factor 6, E3 ubiquitin protein ligase		RNF85	7189	Q9Y4K3
TRAF7	TNF receptor-associated factor 7, E3 ubiquitin protein ligase	RFWD1	RNF119, DKFZp586I021, MGC7807	84231	Q6Q0C0
TRAFD1	TRAF-type zinc finger domain containing 1		FLN29	10906	O14545
TRAIP	TRAF interacting protein		TRIP, RNF206	10293	Q9BWF2
TRAJ1	T cell receptor alpha joining 1 (non-functional)			28754	
TRAJ2	T cell receptor alpha joining 2 (non-functional)			28753	
TRAJ3	T cell receptor alpha joining 3			28752	
TRAJ4	T cell receptor alpha joining 4			28751	
TRAJ5	T cell receptor alpha joining 5			28750	
TRAJ6	T cell receptor alpha joining 6			28749	
TRAJ7	T cell receptor alpha joining 7			28748	
TRAJ8	T cell receptor alpha joining 8			28747	
TRAJ9	T cell receptor alpha joining 9			28746	
TRAJ10	T cell receptor alpha joining 10			28745	
TRAJ11	T cell receptor alpha joining 11			28744	
TRAJ12	T cell receptor alpha joining 12			28743	
TRAJ13	T cell receptor alpha joining 13			28742	
TRAJ14	T cell receptor alpha joining 14			28741	
TRAJ15	T cell receptor alpha joining 15			28740	
TRAJ16	T cell receptor alpha joining 16			28739	
TRAJ17	T cell receptor alpha joining 17			28738	
TRAJ18	T cell receptor alpha joining 18			28737	
TRAJ19	T cell receptor alpha joining 19 (non-functional)			28736	
TRAJ20	T cell receptor alpha joining 20			28735	
TRAJ21	T cell receptor alpha joining 21			28734	
TRAJ22	T cell receptor alpha joining 22			28733	
TRAJ23	T cell receptor alpha joining 23			28732	
TRAJ24	T cell receptor alpha joining 24			28731	
TRAJ25	T cell receptor alpha joining 25 (non-functional)			28730	
TRAJ26	T cell receptor alpha joining 26			28729	
TRAJ27	T cell receptor alpha joining 27			28728	
TRAJ28	T cell receptor alpha joining 28			28727	
TRAJ29	T cell receptor alpha joining 29			28726	
TRAJ30	T cell receptor alpha joining 30			28725	
TRAJ31	T cell receptor alpha joining 31			28724	
TRAJ32	T cell receptor alpha joining 32			28723	
TRAJ33	T cell receptor alpha joining 33			28722	
TRAJ34	T cell receptor alpha joining 34			28721	
TRAJ35	T cell receptor alpha joining 35 (non-functional)			28720	
TRAJ36	T cell receptor alpha joining 36			28719	
TRAJ37	T cell receptor alpha joining 37			28718	
TRAJ38	T cell receptor alpha joining 38			28717	
TRAJ39	T cell receptor alpha joining 39			28716	
TRAJ40	T cell receptor alpha joining 40			28715	
TRAJ41	T cell receptor alpha joining 41			28714	
TRAJ42	T cell receptor alpha joining 42			28713	
TRAJ43	T cell receptor alpha joining 43			28712	
TRAJ44	T cell receptor alpha joining 44			28711	
